,game1,game2,home_x,away_x,away_win
538,1715,2687,-3.0,-1.0,0.0
539,1717,2574,-10.0,-21.0,0.0
540,1718,2696,-5.0,-8.0,0.0
541,1719,2332,2.0,-9.0,0.0
542,1721,3673,18.0,3.0,1.0
543,1722,2865,6.0,4.0,1.0
544,1723,2297,4.0,16.0,1.0
545,1724,3319,11.0,8.0,1.0
546,1725,1864,-14.0,-9.0,0.0
547,1727,2941,11.0,-5.0,0.0
548,1728,2958,9.0,-19.0,0.0
549,1729,2946,-4.0,-3.0,0.0
550,1730,2985,19.0,2.0,1.0
551,1732,2963,2.0,-17.0,0.0
552,1733,2877,35.0,4.0,1.0
553,1734,3534,1.0,-4.0,0.0
554,1735,2817,-12.0,-1.0,0.0
555,1736,2969,2.0,-5.0,0.0
556,1737,2492,-6.0,-14.0,0.0
557,1738,3165,-2.0,-9.0,0.0
558,1739,2922,6.0,-11.0,0.0
559,1740,2884,8.0,2.0,1.0
560,1741,2758,-17.0,-13.0,0.0
561,1742,2887,-1.0,-29.0,0.0
562,1743,2579,3.0,13.0,1.0
563,1744,2890,16.0,10.0,1.0
564,1745,2818,-1.0,-8.0,0.0
565,1746,2892,15.0,2.0,1.0
566,1747,2893,-7.0,-19.0,0.0
567,1748,3174,-22.0,-11.0,0.0
568,1749,3093,20.0,-3.0,0.0
569,1750,2896,-2.0,-16.0,0.0
570,1751,2636,11.0,-9.0,0.0
571,1752,2034,-7.0,5.0,1.0
572,1753,3059,-2.0,-2.0,0.0
573,1755,3062,12.0,-31.0,0.0
574,1756,2967,12.0,-1.0,0.0
575,1757,3057,-2.0,10.0,1.0
576,1758,3501,-16.0,10.0,1.0
577,1759,2936,4.0,-7.0,0.0
578,1760,3183,2.0,6.0,1.0
579,1761,2904,-3.0,-11.0,0.0
580,1763,3066,-12.0,8.0,1.0
581,1764,2907,-6.0,-14.0,0.0
582,1765,2824,11.0,8.0,1.0
583,1766,2909,15.0,9.0,1.0
584,1767,2910,-11.0,-4.0,0.0
585,1768,3047,-12.0,-24.0,0.0
586,1769,3107,17.0,2.0,1.0
587,1770,3434,2.0,-14.0,0.0
588,1771,2980,2.0,-22.0,0.0
589,1772,3055,5.0,-14.0,0.0
590,1773,2932,-1.0,13.0,1.0
591,1774,3300,8.0,19.0,1.0
592,1775,2831,-12.0,-22.0,0.0
593,1777,2906,13.0,-2.0,0.0
594,1778,2650,-7.0,3.0,1.0
595,1780,2833,-15.0,-26.0,0.0
596,1781,3204,-14.0,-4.0,0.0
597,1782,2834,20.0,7.0,1.0
598,1783,3210,6.0,-17.0,0.0
599,1784,2926,5.0,9.0,1.0
600,1785,3068,-1.0,-9.0,0.0
601,1787,2929,-6.0,-2.0,0.0
602,1788,2550,16.0,3.0,1.0
603,1789,3486,-3.0,-7.0,0.0
604,1790,2938,26.0,-2.0,0.0
605,1791,2839,2.0,4.0,1.0
606,1792,2796,-6.0,-8.0,0.0
607,1793,3072,17.0,-3.0,0.0
608,1794,2842,7.0,-4.0,0.0
609,1795,2951,37.0,-9.0,0.0
610,1796,2939,-11.0,-24.0,0.0
611,1797,3024,-20.0,-21.0,0.0
612,1799,2841,-2.0,-11.0,0.0
613,1800,2827,26.0,-5.0,0.0
614,1801,2559,7.0,9.0,1.0
615,1802,2976,7.0,-7.0,0.0
616,1803,2843,2.0,9.0,1.0
617,1804,3276,11.0,-6.0,0.0
618,1805,2655,2.0,-18.0,0.0
619,1806,2846,-16.0,-20.0,0.0
620,1807,2847,2.0,7.0,1.0
621,1808,2562,15.0,4.0,1.0
622,1810,2850,-4.0,-15.0,0.0
623,1811,2955,13.0,3.0,1.0
624,1812,3081,4.0,7.0,1.0
625,1813,3249,12.0,-4.0,0.0
626,1814,3396,24.0,16.0,1.0
627,1815,2699,9.0,-7.0,0.0
628,1816,2957,-31.0,-2.0,0.0
629,1817,3316,3.0,-8.0,0.0
630,1818,3433,-5.0,-10.0,0.0
631,1819,2566,15.0,10.0,1.0
632,1820,3085,4.0,-8.0,0.0
633,1821,2419,-2.0,7.0,1.0
634,1823,2567,13.0,24.0,1.0
635,1824,2568,-3.0,-10.0,0.0
636,1825,3052,12.0,-21.0,0.0
637,1826,3254,-15.0,-22.0,0.0
638,1827,3087,-21.0,-12.0,0.0
639,1829,3100,-13.0,5.0,1.0
640,1830,2002,-9.0,1.0,1.0
641,1831,2682,-2.0,-15.0,0.0
642,1832,2838,-7.0,9.0,1.0
643,1833,2685,-4.0,-15.0,0.0
644,1835,2859,-19.0,-16.0,0.0
645,1836,3244,5.0,-7.0,0.0
646,1837,2854,6.0,-13.0,0.0
647,1840,2476,-4.0,-16.0,0.0
648,1841,3038,3.0,-7.0,0.0
649,1842,2987,15.0,-6.0,0.0
650,1843,2845,26.0,-4.0,0.0
651,1844,2994,17.0,16.0,1.0
652,1845,3039,16.0,18.0,1.0
653,1846,2013,9.0,8.0,1.0
654,1847,2948,6.0,-3.0,0.0
655,1848,3272,3.0,6.0,1.0
656,1849,2880,19.0,12.0,1.0
657,1850,2606,31.0,5.0,1.0
